Ticket ID,latent_problem_id,had_context,true_category
MU-100717,LMS-LOGIN,No,Learning Management System
MU-100836,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104085,APP-INSTALL,Yes,Application Support
MU-101248,ACC-PWD-RESET,Yes,Account & Access Management
MU-100636,HW-PRINTER,No,Hardware & Equipment
MU-100680,SIS-PORTAL-SLOW,Yes,Student Information System
MU-102735,NET-SLOW,Yes,Network & Connectivity
MU-100647,HW-PRINTER,Yes,Hardware & Equipment
MU-101054,EML-MAILBOX-FULL,No,Email & Collaboration
MU-101330,APP-LICENCE,No,Application Support
MU-101917,SIS-PORTAL-SLOW,No,Student Information System
MU-104553,ACC-LOCKED,Yes,Account & Access Management
MU-102509,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-103008,ACC-PWD-RESET,Yes,Account & Access Management
MU-104465,ACC-NEW,Yes,Account & Access Management
MU-104622,SIS-PORTAL-SLOW,Yes,Student Information System
MU-100878,HW-PRINTER,Yes,Hardware & Equipment
MU-103232,ACC-PWD-RESET,Yes,Account & Access Management
MU-104371,EML-SEND-FAIL,Yes,Email & Collaboration
MU-103477,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101134,LMS-COURSE-MISSING,No,Learning Management System
MU-102194,HW-PC-NOBOOT,No,Hardware & Equipment
MU-102436,SIS-FEE,Yes,Student Information System
MU-102195,HW-PROJECTOR,Yes,Hardware & Equipment
MU-104190,LMS-LOGIN,No,Learning Management System
MU-103476,ACC-PWD-RESET,Yes,Account & Access Management
MU-103902,EML-SEND-FAIL,No,Email & Collaboration
MU-103228,NET-SLOW,Yes,Network & Connectivity
MU-100244,EML-MEETING,No,Email & Collaboration
MU-102856,HW-PC-NOBOOT,No,Hardware & Equipment
MU-100747,SIS-FEE,Yes,Student Information System
MU-102275,ACC-LOCKED,Yes,Account & Access Management
MU-102606,EML-SEND-FAIL,Yes,Email & Collaboration
MU-101766,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-104594,ACC-LOCKED,No,Account & Access Management
MU-101458,LMS-LOGIN,Yes,Learning Management System
MU-100764,LMS-QUIZ,Yes,Learning Management System
MU-104181,ACC-PERMS,Yes,Account & Access Management
MU-100449,SIS-TRANSCRIPT,Yes,Student Information System
MU-100750,SIS-REG,No,Student Information System
MU-102399,SIS-REG,Yes,Student Information System
MU-101399,SIS-REG,No,Student Information System
MU-103180,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-100701,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104628,ACC-PERMS,Yes,Account & Access Management
MU-100997,NET-LAN-PORT,No,Network & Connectivity
MU-104783,ACC-PWD-RESET,No,Account & Access Management
MU-100169,HW-PRINTER,Yes,Hardware & Equipment
MU-103832,SIS-REG,Yes,Student Information System
MU-104714,LMS-LOGIN,Yes,Learning Management System
MU-101476,LMS-COURSE-MISSING,No,Learning Management System
MU-104694,ACC-NEW,Yes,Account & Access Management
MU-100771,NET-LAN-PORT,Yes,Network & Connectivity
MU-103709,SIS-REG,No,Student Information System
MU-104658,HW-PRINTER,Yes,Hardware & Equipment
MU-100302,HW-PROJECTOR,Yes,Hardware & Equipment
MU-104061,LMS-LOGIN,Yes,Learning Management System
MU-100349,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-102168,APP-LICENCE,Yes,Application Support
MU-102868,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-104526,NET-SLOW,Yes,Network & Connectivity
MU-102100,HW-PROJECTOR,Yes,Hardware & Equipment
MU-101985,ACC-PWD-RESET,No,Account & Access Management
MU-100734,SIS-REG,No,Student Information System
MU-103702,LMS-LOGIN,No,Learning Management System
MU-103106,LMS-QUIZ,No,Learning Management System
MU-101879,SIS-TRANSCRIPT,No,Student Information System
MU-100221,NET-LAN-PORT,No,Network & Connectivity
MU-104152,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100614,APP-ERP,No,Application Support
MU-104733,ACC-PERMS,Yes,Account & Access Management
MU-102695,LMS-LOGIN,No,Learning Management System
MU-102060,SIS-REG,No,Student Information System
MU-100159,ACC-LOCKED,Yes,Account & Access Management
MU-103595,APP-INSTALL,Yes,Application Support
MU-100063,LMS-LOGIN,No,Learning Management System
MU-101340,APP-ERP,Yes,Application Support
MU-103029,ACC-LOCKED,Yes,Account & Access Management
MU-100858,ACC-PWD-RESET,Yes,Account & Access Management
MU-103092,SIS-REG,Yes,Student Information System
MU-101570,LMS-QUIZ,Yes,Learning Management System
MU-104157,EML-MEETING,Yes,Email & Collaboration
MU-102843,NET-SLOW,Yes,Network & Connectivity
MU-104506,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101652,ACC-PWD-RESET,Yes,Account & Access Management
MU-100089,EML-MEETING,No,Email & Collaboration
MU-103428,LMS-QUIZ,Yes,Learning Management System
MU-101160,HW-PC-SLOW,Yes,Hardware & Equipment
MU-100648,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104569,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104125,NET-WIFI-NOCONN,No,Network & Connectivity
MU-103909,EML-SEND-FAIL,No,Email & Collaboration
MU-102260,EML-SEND-FAIL,Yes,Email & Collaboration
MU-101763,ACC-LOCKED,No,Account & Access Management
MU-101003,APP-ERP,Yes,Application Support
MU-104794,ACC-LOCKED,No,Account & Access Management
MU-100894,HW-PROJECTOR,Yes,Hardware & Equipment
MU-103949,ACC-PWD-RESET,No,Account & Access Management
MU-104215,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100556,SIS-REG,Yes,Student Information System
MU-101219,ACC-NEW,Yes,Account & Access Management
MU-103512,LMS-LOGIN,Yes,Learning Management System
MU-103377,ACC-PWD-RESET,No,Account & Access Management
MU-104814,ACC-LOCKED,Yes,Account & Access Management
MU-104660,APP-INSTALL,No,Application Support
MU-103714,SIS-FEE,No,Student Information System
MU-102523,APP-INSTALL,Yes,Application Support
MU-101908,NET-LAN-PORT,Yes,Network & Connectivity
MU-100001,SIS-REG,Yes,Student Information System
MU-101366,LMS-LOGIN,No,Learning Management System
MU-101565,LMS-UPLOAD,Yes,Learning Management System
MU-104484,ACC-PWD-RESET,Yes,Account & Access Management
MU-104267,NET-SLOW,No,Network & Connectivity
MU-100946,HW-PROJECTOR,Yes,Hardware & Equipment
MU-103791,HW-PERIPHERAL,No,Hardware & Equipment
MU-103897,NET-SLOW,Yes,Network & Connectivity
MU-100066,NET-SLOW,Yes,Network & Connectivity
MU-102940,ACC-NEW,Yes,Account & Access Management
MU-104017,NET-SLOW,Yes,Network & Connectivity
MU-104726,APP-INSTALL,No,Application Support
MU-104828,ACC-NEW,Yes,Account & Access Management
MU-102167,NET-VPN,Yes,Network & Connectivity
MU-100631,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-104520,LMS-LOGIN,No,Learning Management System
MU-103378,SIS-REG,No,Student Information System
MU-104519,LMS-QUIZ,Yes,Learning Management System
MU-104889,ACC-PWD-RESET,Yes,Account & Access Management
MU-104237,EML-SEND-FAIL,Yes,Email & Collaboration
MU-104087,LMS-QUIZ,Yes,Learning Management System
MU-104343,ACC-PWD-RESET,No,Account & Access Management
MU-102305,ACC-LOCKED,Yes,Account & Access Management
MU-102040,NET-SLOW,No,Network & Connectivity
MU-104742,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101924,NET-SLOW,Yes,Network & Connectivity
MU-100067,NET-VPN,Yes,Network & Connectivity
MU-101884,APP-ERP,Yes,Application Support
MU-101321,ACC-PWD-RESET,No,Account & Access Management
MU-103226,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103347,ACC-PERMS,Yes,Account & Access Management
MU-101526,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-103835,EML-SEND-FAIL,Yes,Email & Collaboration
MU-101951,HW-PRINTER,Yes,Hardware & Equipment
MU-103804,EML-SEND-FAIL,Yes,Email & Collaboration
MU-101249,NET-WIFI-NOCONN,No,Network & Connectivity
MU-102690,NET-LAN-PORT,No,Network & Connectivity
MU-103197,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-101220,LMS-LOGIN,Yes,Learning Management System
MU-102202,APP-INSTALL,No,Application Support
MU-100857,SIS-REG,No,Student Information System
MU-102616,SIS-FEE,Yes,Student Information System
MU-101958,ACC-PWD-RESET,No,Account & Access Management
MU-102424,APP-PRINT-SW,No,Application Support
MU-102916,SIS-TRANSCRIPT,No,Student Information System
MU-101359,NET-LAN-PORT,No,Network & Connectivity
MU-100360,APP-INSTALL,Yes,Application Support
MU-100247,NET-SLOW,No,Network & Connectivity
MU-104364,EML-MAILBOX-FULL,No,Email & Collaboration
MU-100059,LMS-LOGIN,No,Learning Management System
MU-103748,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-101332,HW-PC-NOBOOT,No,Hardware & Equipment
MU-103277,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-101017,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100660,NET-SLOW,Yes,Network & Connectivity
MU-104677,NET-SLOW,Yes,Network & Connectivity
MU-101103,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101204,ACC-PWD-RESET,Yes,Account & Access Management
MU-104236,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-102505,NET-VPN,Yes,Network & Connectivity
MU-104820,LMS-LOGIN,No,Learning Management System
MU-102336,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-102676,EML-MEETING,Yes,Email & Collaboration
MU-100459,NET-WIFI-NOCONN,No,Network & Connectivity
MU-103609,EML-SEND-FAIL,No,Email & Collaboration
MU-103950,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-101691,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101759,ACC-LOCKED,Yes,Account & Access Management
MU-102898,SIS-PORTAL-SLOW,Yes,Student Information System
MU-101972,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104654,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101611,ACC-PWD-RESET,Yes,Account & Access Management
MU-102512,NET-SLOW,Yes,Network & Connectivity
MU-104604,LMS-LOGIN,No,Learning Management System
MU-102073,NET-SLOW,No,Network & Connectivity
MU-102727,SIS-REG,Yes,Student Information System
MU-102805,NET-SLOW,No,Network & Connectivity
MU-101066,SIS-PORTAL-SLOW,No,Student Information System
MU-102719,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-103516,ACC-NEW,No,Account & Access Management
MU-102962,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104818,NET-LAN-PORT,Yes,Network & Connectivity
MU-104317,APP-INSTALL,No,Application Support
MU-102387,LMS-LOGIN,Yes,Learning Management System
MU-103220,ACC-PWD-RESET,No,Account & Access Management
MU-100869,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100904,APP-LICENCE,No,Application Support
MU-102455,EML-MEETING,Yes,Email & Collaboration
MU-103789,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101643,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-104563,EML-SEND-FAIL,Yes,Email & Collaboration
MU-102798,SIS-REG,Yes,Student Information System
MU-101038,SIS-REG,Yes,Student Information System
MU-100847,ACC-PWD-RESET,Yes,Account & Access Management
MU-101773,ACC-PWD-RESET,No,Account & Access Management
MU-102315,ACC-PWD-RESET,Yes,Account & Access Management
MU-102531,ACC-PERMS,Yes,Account & Access Management
MU-101935,LMS-UPLOAD,No,Learning Management System
MU-101298,NET-VPN,Yes,Network & Connectivity
MU-101802,SIS-FEE,Yes,Student Information System
MU-104572,ACC-PWD-RESET,No,Account & Access Management
MU-103922,NET-LAN-PORT,Yes,Network & Connectivity
MU-102956,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-102384,ACC-LOCKED,Yes,Account & Access Management
MU-100234,ACC-LOCKED,Yes,Account & Access Management
MU-104186,ACC-PWD-RESET,No,Account & Access Management
MU-103502,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100554,NET-SLOW,No,Network & Connectivity
MU-103559,SIS-TRANSCRIPT,No,Student Information System
MU-104201,HW-PRINTER,No,Hardware & Equipment
MU-100036,EML-SEND-FAIL,Yes,Email & Collaboration
MU-104406,ACC-LOCKED,Yes,Account & Access Management
MU-103314,ACC-PWD-RESET,Yes,Account & Access Management
MU-103754,HW-PC-NOBOOT,No,Hardware & Equipment
MU-103797,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100837,SIS-FEE,Yes,Student Information System
MU-102300,SIS-TRANSCRIPT,No,Student Information System
MU-100237,APP-INSTALL,Yes,Application Support
MU-103785,HW-PROJECTOR,No,Hardware & Equipment
MU-103225,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-102143,ACC-PWD-RESET,No,Account & Access Management
MU-100963,LMS-QUIZ,Yes,Learning Management System
MU-102252,HW-PRINTER,Yes,Hardware & Equipment
MU-100465,ACC-PERMS,No,Account & Access Management
MU-104424,LMS-LOGIN,Yes,Learning Management System
MU-102628,ACC-PERMS,No,Account & Access Management
MU-100575,SIS-REG,No,Student Information System
MU-100959,APP-LICENCE,Yes,Application Support
MU-101475,SIS-PORTAL-SLOW,No,Student Information System
MU-103246,SIS-TRANSCRIPT,Yes,Student Information System
MU-103778,HW-PC-NOBOOT,No,Hardware & Equipment
MU-101413,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-104848,NET-SLOW,Yes,Network & Connectivity
MU-104635,SIS-FEE,Yes,Student Information System
MU-103475,SIS-FEE,No,Student Information System
MU-101735,NET-SLOW,Yes,Network & Connectivity
MU-102852,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100568,ACC-PWD-RESET,Yes,Account & Access Management
MU-104815,LMS-LOGIN,Yes,Learning Management System
MU-100527,LMS-QUIZ,No,Learning Management System
MU-104682,HW-PERIPHERAL,No,Hardware & Equipment
MU-104202,ACC-PWD-RESET,Yes,Account & Access Management
MU-104705,SIS-PORTAL-SLOW,Yes,Student Information System
MU-104723,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101980,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101834,ACC-LOCKED,No,Account & Access Management
MU-104135,HW-PROJECTOR,Yes,Hardware & Equipment
MU-102625,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-104619,HW-PRINTER,No,Hardware & Equipment
MU-103214,APP-ERP,No,Application Support
MU-100037,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103438,HW-PROJECTOR,No,Hardware & Equipment
MU-100824,ACC-LOCKED,No,Account & Access Management
MU-100763,LMS-UPLOAD,No,Learning Management System
MU-103581,NET-VPN,No,Network & Connectivity
MU-100166,APP-PRINT-SW,Yes,Application Support
MU-101213,APP-LICENCE,Yes,Application Support
MU-103808,APP-INSTALL,No,Application Support
MU-102667,LMS-COURSE-MISSING,No,Learning Management System
MU-102121,ACC-LOCKED,Yes,Account & Access Management
MU-103914,APP-PRINT-SW,No,Application Support
MU-103550,NET-LAN-PORT,Yes,Network & Connectivity
MU-103662,HW-PRINTER,Yes,Hardware & Equipment
MU-100210,HW-PRINTER,Yes,Hardware & Equipment
MU-103134,NET-LAN-PORT,Yes,Network & Connectivity
MU-103962,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104307,SIS-REG,Yes,Student Information System
MU-100085,HW-PROJECTOR,Yes,Hardware & Equipment
MU-101380,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-103099,LMS-COURSE-MISSING,No,Learning Management System
MU-100457,ACC-PWD-RESET,No,Account & Access Management
MU-100910,SIS-REG,Yes,Student Information System
MU-104496,ACC-PWD-RESET,Yes,Account & Access Management
MU-102385,APP-PRINT-SW,Yes,Application Support
MU-104474,ACC-PWD-RESET,Yes,Account & Access Management
MU-100853,EML-MEETING,Yes,Email & Collaboration
MU-102827,EML-SEND-FAIL,No,Email & Collaboration
MU-103392,HW-PRINTER,Yes,Hardware & Equipment
MU-101640,SIS-REG,Yes,Student Information System
MU-102713,ACC-PWD-RESET,Yes,Account & Access Management
MU-103604,NET-SLOW,Yes,Network & Connectivity
MU-100132,NET-SLOW,Yes,Network & Connectivity
MU-102394,HW-PROJECTOR,No,Hardware & Equipment
MU-104760,HW-PRINTER,Yes,Hardware & Equipment
MU-100704,NET-LAN-PORT,No,Network & Connectivity
MU-100544,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100103,NET-WIFI-NOCONN,No,Network & Connectivity
MU-103440,SIS-REG,No,Student Information System
MU-103140,HW-PC-SLOW,Yes,Hardware & Equipment
MU-100534,APP-PRINT-SW,Yes,Application Support
MU-102614,APP-PRINT-SW,Yes,Application Support
MU-104672,LMS-COURSE-MISSING,No,Learning Management System
MU-104081,EML-MAILBOX-FULL,No,Email & Collaboration
MU-103038,NET-SLOW,No,Network & Connectivity
MU-100955,LMS-LOGIN,Yes,Learning Management System
MU-103600,ACC-PWD-RESET,Yes,Account & Access Management
MU-103485,LMS-LOGIN,No,Learning Management System
MU-103783,EML-MEETING,No,Email & Collaboration
MU-103862,APP-ERP,No,Application Support
MU-101957,ACC-PERMS,Yes,Account & Access Management
MU-100423,LMS-COURSE-MISSING,No,Learning Management System
MU-101335,HW-PRINTER,Yes,Hardware & Equipment
MU-103108,NET-SLOW,Yes,Network & Connectivity
MU-102075,SIS-FEE,No,Student Information System
MU-100739,NET-LAN-PORT,Yes,Network & Connectivity
MU-103394,APP-PRINT-SW,Yes,Application Support
MU-101142,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-104407,NET-VPN,Yes,Network & Connectivity
MU-104527,ACC-LOCKED,Yes,Account & Access Management
MU-102123,LMS-LOGIN,Yes,Learning Management System
MU-101833,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-104442,HW-PRINTER,Yes,Hardware & Equipment
MU-104262,SIS-REG,Yes,Student Information System
MU-101948,SIS-REG,No,Student Information System
MU-100809,HW-PROJECTOR,No,Hardware & Equipment
MU-104256,ACC-PWD-RESET,No,Account & Access Management
MU-101438,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100687,SIS-REG,Yes,Student Information System
MU-101422,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-104552,ACC-PWD-RESET,No,Account & Access Management
MU-101682,ACC-PWD-RESET,Yes,Account & Access Management
MU-102961,SIS-PORTAL-SLOW,Yes,Student Information System
MU-104655,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100668,NET-LAN-PORT,Yes,Network & Connectivity
MU-100275,SIS-REG,No,Student Information System
MU-101123,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-104323,APP-LICENCE,No,Application Support
MU-103431,ACC-NEW,Yes,Account & Access Management
MU-101325,EML-SEND-FAIL,Yes,Email & Collaboration
MU-103684,ACC-PERMS,No,Account & Access Management
MU-101800,SIS-REG,No,Student Information System
MU-103903,APP-PRINT-SW,Yes,Application Support
MU-103931,LMS-LOGIN,Yes,Learning Management System
MU-103160,SIS-TRANSCRIPT,No,Student Information System
MU-104060,LMS-LOGIN,Yes,Learning Management System
MU-100754,ACC-PWD-RESET,No,Account & Access Management
MU-102810,HW-PC-NOBOOT,No,Hardware & Equipment
MU-104433,LMS-LOGIN,Yes,Learning Management System
MU-103610,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103151,ACC-PWD-RESET,Yes,Account & Access Management
MU-104644,LMS-UPLOAD,Yes,Learning Management System
MU-100787,ACC-PWD-RESET,Yes,Account & Access Management
MU-103270,NET-LAN-PORT,No,Network & Connectivity
MU-103193,NET-WIFI-NOCONN,No,Network & Connectivity
MU-100863,NET-LAN-PORT,No,Network & Connectivity
MU-104445,LMS-COURSE-MISSING,No,Learning Management System
MU-101893,HW-PROJECTOR,No,Hardware & Equipment
MU-100338,APP-PRINT-SW,No,Application Support
MU-102052,ACC-LOCKED,Yes,Account & Access Management
MU-102507,APP-PRINT-SW,No,Application Support
MU-101937,APP-LICENCE,Yes,Application Support
MU-101152,ACC-PWD-RESET,Yes,Account & Access Management
MU-104146,HW-PRINTER,Yes,Hardware & Equipment
MU-101190,LMS-QUIZ,No,Learning Management System
MU-101256,ACC-NEW,Yes,Account & Access Management
MU-101427,HW-PRINTER,Yes,Hardware & Equipment
MU-100645,HW-PC-SLOW,Yes,Hardware & Equipment
MU-100343,EML-SEND-FAIL,Yes,Email & Collaboration
MU-103601,SIS-FEE,No,Student Information System
MU-100236,HW-PRINTER,No,Hardware & Equipment
MU-101040,APP-PRINT-SW,No,Application Support
MU-102783,EML-SEND-FAIL,Yes,Email & Collaboration
MU-100456,ACC-PWD-RESET,No,Account & Access Management
MU-104597,ACC-PERMS,Yes,Account & Access Management
MU-102242,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-101838,HW-PROJECTOR,Yes,Hardware & Equipment
MU-104272,NET-LAN-PORT,Yes,Network & Connectivity
MU-103255,HW-PERIPHERAL,No,Hardware & Equipment
MU-104335,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100042,NET-SLOW,Yes,Network & Connectivity
MU-104521,SIS-FEE,Yes,Student Information System
MU-102593,LMS-COURSE-MISSING,Yes,Learning Management System
MU-102329,ACC-LOCKED,Yes,Account & Access Management
MU-101952,LMS-COURSE-MISSING,Yes,Learning Management System
MU-102504,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101377,NET-LAN-PORT,Yes,Network & Connectivity
MU-104324,NET-SLOW,Yes,Network & Connectivity
MU-103249,APP-INSTALL,No,Application Support
MU-102538,HW-PRINTER,Yes,Hardware & Equipment
MU-102132,LMS-UPLOAD,No,Learning Management System
MU-100941,HW-PROJECTOR,No,Hardware & Equipment
MU-104360,SIS-REG,Yes,Student Information System
MU-100430,LMS-LOGIN,No,Learning Management System
MU-100920,ACC-PWD-RESET,No,Account & Access Management
MU-102754,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-104311,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104185,SIS-REG,Yes,Student Information System
MU-103012,NET-SLOW,No,Network & Connectivity
MU-103799,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100258,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-104410,SIS-REG,No,Student Information System
MU-101197,SIS-TRANSCRIPT,Yes,Student Information System
MU-101792,SIS-FEE,Yes,Student Information System
MU-102817,ACC-PWD-RESET,No,Account & Access Management
MU-103198,NET-SLOW,No,Network & Connectivity
MU-102514,LMS-LOGIN,Yes,Learning Management System
MU-102706,SIS-REG,No,Student Information System
MU-100781,NET-SLOW,No,Network & Connectivity
MU-101707,LMS-LOGIN,Yes,Learning Management System
MU-100508,ACC-PWD-RESET,No,Account & Access Management
MU-103710,LMS-LOGIN,Yes,Learning Management System
MU-101549,APP-PRINT-SW,Yes,Application Support
MU-100041,SIS-REG,Yes,Student Information System
MU-100681,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100805,NET-VPN,No,Network & Connectivity
MU-100251,HW-PRINTER,No,Hardware & Equipment
MU-102459,ACC-PWD-RESET,Yes,Account & Access Management
MU-102031,NET-VPN,Yes,Network & Connectivity
MU-104637,LMS-LOGIN,No,Learning Management System
MU-100548,LMS-UPLOAD,Yes,Learning Management System
MU-102728,LMS-UPLOAD,Yes,Learning Management System
MU-104458,LMS-LOGIN,Yes,Learning Management System
MU-101034,SIS-PORTAL-SLOW,No,Student Information System
MU-101423,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-104720,ACC-PWD-RESET,No,Account & Access Management
MU-100168,LMS-LOGIN,Yes,Learning Management System
MU-103435,EML-MAILBOX-FULL,No,Email & Collaboration
MU-100030,HW-PRINTER,Yes,Hardware & Equipment
MU-103183,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100262,NET-VPN,Yes,Network & Connectivity
MU-102009,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100778,LMS-LOGIN,Yes,Learning Management System
MU-104365,EML-MEETING,No,Email & Collaboration
MU-103624,NET-SLOW,Yes,Network & Connectivity
MU-100766,ACC-PWD-RESET,Yes,Account & Access Management
MU-100965,HW-PC-SLOW,No,Hardware & Equipment
MU-102386,EML-SEND-FAIL,Yes,Email & Collaboration
MU-102421,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-102844,LMS-COURSE-MISSING,No,Learning Management System
MU-100212,SIS-PORTAL-SLOW,Yes,Student Information System
MU-103229,APP-ERP,Yes,Application Support
MU-103223,LMS-UPLOAD,No,Learning Management System
MU-103306,NET-LAN-PORT,Yes,Network & Connectivity
MU-104774,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-103539,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104451,HW-PRINTER,No,Hardware & Equipment
MU-104583,HW-PC-SLOW,Yes,Hardware & Equipment
MU-104873,SIS-REG,Yes,Student Information System
MU-103231,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100526,ACC-PWD-RESET,No,Account & Access Management
MU-104167,HW-PRINTER,No,Hardware & Equipment
MU-101083,HW-PRINTER,Yes,Hardware & Equipment
MU-101656,APP-INSTALL,No,Application Support
MU-102984,SIS-REG,Yes,Student Information System
MU-103098,NET-LAN-PORT,No,Network & Connectivity
MU-100740,NET-VPN,No,Network & Connectivity
MU-104171,EML-MEETING,Yes,Email & Collaboration
MU-101102,NET-SLOW,Yes,Network & Connectivity
MU-101004,HW-PRINTER,No,Hardware & Equipment
MU-101013,ACC-PWD-RESET,No,Account & Access Management
MU-100248,SIS-REG,Yes,Student Information System
MU-101198,NET-SLOW,Yes,Network & Connectivity
MU-100718,LMS-LOGIN,No,Learning Management System
MU-103388,APP-PRINT-SW,Yes,Application Support
MU-100054,LMS-LOGIN,Yes,Learning Management System
MU-103716,SIS-REG,Yes,Student Information System
MU-103757,APP-INSTALL,No,Application Support
MU-103991,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101369,ACC-NEW,Yes,Account & Access Management
MU-100643,ACC-PWD-RESET,No,Account & Access Management
MU-103960,SIS-TRANSCRIPT,No,Student Information System
MU-103974,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103867,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101683,EML-SEND-FAIL,No,Email & Collaboration
MU-100543,ACC-PWD-RESET,Yes,Account & Access Management
MU-100023,HW-PRINTER,Yes,Hardware & Equipment
MU-101997,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101875,SIS-REG,No,Student Information System
MU-103224,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100031,LMS-UPLOAD,Yes,Learning Management System
MU-103830,LMS-LOGIN,No,Learning Management System
MU-102223,HW-PRINTER,Yes,Hardware & Equipment
MU-104040,ACC-NEW,No,Account & Access Management
MU-100378,ACC-PWD-RESET,No,Account & Access Management
MU-101173,APP-INSTALL,No,Application Support
MU-103002,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-103869,ACC-NEW,Yes,Account & Access Management
MU-102222,SIS-FEE,No,Student Information System
MU-102155,SIS-REG,Yes,Student Information System
MU-102192,NET-SLOW,Yes,Network & Connectivity
MU-100609,SIS-FEE,Yes,Student Information System
MU-100542,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100077,APP-PRINT-SW,Yes,Application Support
MU-101562,ACC-LOCKED,Yes,Account & Access Management
MU-102762,HW-PC-SLOW,Yes,Hardware & Equipment
MU-102301,SIS-FEE,No,Student Information System
MU-104545,ACC-LOCKED,Yes,Account & Access Management
MU-101151,ACC-LOCKED,No,Account & Access Management
MU-103826,APP-INSTALL,No,Application Support
MU-104097,ACC-LOCKED,Yes,Account & Access Management
MU-102989,HW-PRINTER,No,Hardware & Equipment
MU-102518,HW-PROJECTOR,Yes,Hardware & Equipment
MU-100921,ACC-PWD-RESET,No,Account & Access Management
MU-100317,ACC-PWD-RESET,Yes,Account & Access Management
MU-104648,HW-PROJECTOR,Yes,Hardware & Equipment
