Ticket ID,Subject,Description,Category,Subcategory,Department,Assigned Resolver,Assigned Team,Status,Resolution Notes,Created,Resolved,Reassigned
MU-104543,Printer error,It keeps failing in our department. kindly assist urgently.,Hardware & Equipment,Printer,Registrar (Academic),ICT-APP-01,Applications Support Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2024-01-27 13:13,2024-02-01 20:38,No
MU-104048,Support request,It is down in our department since the semester started.,Learning Management System,Assessment,School of Engineering,ICT-ELN-01,eLearning Support Unit,Resolved,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted. Advised the user to report any recurrence.",2024-02-10 13:00,2024-02-11 07:34,No
MU-100503,Urgent assisance required,It is down. it says my registration is not allowed. it was working fine last week. Thank you.,Student Information System,Unit registration,School of Information Sciences,ICT-MIS-01,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2024-03-16 16:49,2024-03-18 03:04,No
MU-104507,New staff account,I am requesting a new acocunt since this morning. i have already restarted the machine.,Account & Access Management,New account,School of Medicine,ICT-HD-03,Help Desk (Tier 1),Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-02-11 17:20,2024-02-11 22:40,No
MU-100547,Cannot login,I cannot open it in our block. this is for my staff domain account. i have already restarted the machine. please help. Thank you.,Account & Access Management,Password reset,School of Law,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-05-08 08:16,2024-05-08 13:41,No
MU-103095,SPSS installation,"Hello, I need it installed in the computer lab. the statistical software is needed on the postgraduate lab machines since yesterday. i have already restarted the machine. kindly assist urgently. Thank you.",Application Support,Software installation,Registrar (Academic),,,Closed,"Verified licence entitlement, installed the requested application from the approved software repository and activated it against the institutional licence server.",2025-01-24 16:25,2025-01-27 01:38,No
MU-104588,Cannot login,"Dear ICT, I am unable to sign in at the main campus. the registration page errors after i select units since friday. Kindly assist.",Student Information System,Unit registration,School of Science,,,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2024-11-06 12:38,2024-11-08 09:20,No
MU-101535,Cannot see my course,I cant see it and the course page is not visible to my students in the staff room.,Learning Management System,Course enrolment,School of Arts and Social Sciences,ICT-ELN-02,eLearning Support Unit,Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2024-02-09 17:09,2024-02-10 14:23,Yes
MU-100873,Slow connectioon,"Good afternoon, It has refused to work in the staff room. the internet connection is the problem. kindly assist. Thank you.",Network & Connectivity,Performance,School of Medicine,ICT-NET-01,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2025-11-28 18:39,2025-11-30 04:24,No
MU-101693,Office printer down,It has stopped working and the printer shows an error light for the past two days. my colleague is not having the same problem.,Network & Connectivity,Printer,Procurement,ICT-HWM-01,Hardware & Maintenance Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2024-06-03 14:52,2024-06-05 05:46,No
MU-104178,Office printer down,"Dear ICT, It keeps failing. the printouts are faint and streaky. kindlly look into it.",Hardware & Equipment,Printer,Finance Department,ICT-APP-02,Applications Support Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2025-01-09 14:35,2025-01-10 06:21,No
MU-101563,Software installation request, ,Application Support,Software installation,School of Medicine,ICT-HD-02,Help Desk (Tier 1),Closed,"Verified licence entitlement, installed the requested application from the approved software repository and activated it against the institutional licence server.",2024-12-25 07:34,2024-12-28 22:23,No
MU-101949,Kindly assist,"Good morning, It has refused to work. it was working fine last week. kindly assist.",Learning Management System,Course enrolment,School of Law,ICT-ELN-02,eLearning Support Unit,Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user. Advised the user to report any recurrence.",2024-03-07 13:24,2024-03-08 06:36,No
MU-103230,test ticket please ignore,ignore this,,Password reset,School of Medicine,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Ticket closed.",2025-03-20 17:22,2025-03-20 20:14,No
MU-102063,LMS login failing,"Dear ICT, Login is not working and my email password workks but elearning does not accept it.  it was working fine last week.  kindly assist.  Regards.",Learning Management System,Access,School of Education,ICT-SYS-04,Systems & Accounts Team,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-11-14 07:19,2024-11-15 07:15,No
MU-100223,Request for support,Nothing is happening and the ups beeps continuously and the machine goes off in the administration block. the deadline is today. kindly assist urgently. thanx.,Hardware & Equipment,Peripherals,University Library,ICT-HWM-02,Hardware & Maintenance Team,Closed,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed.,2024-10-31 10:34,2024-11-06 08:09,No
MU-100866,Slow connection,It is extremely slow.  the whole department's link is affeected from today morning.  Regards.,Network & Connectivity,Performance,School of Engineering,ICT-NET-01,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2025-03-02 16:26,2025-03-03 06:02,No
MU-103129,Keyboard not working,"Hi, It has refused to work. the deadline is today. kindly assist urgently. Thanks in advance.",Hardware & Equipment,Peripherals,Finance Department,ICT-HWM-03,Hardware & Maintenance Team,Closed,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed. User confirmed the issue was resolved.,2024-07-02 13:31,2024-07-03 12:05,No
MU-104039,PASSWORD RESET,It refuses to let me in at the library since yesterday. kindly assist urgently.,Account & Access Management,Password reset,Human Resources,ICT-HD-01,Help Desk (Tier 1),Closed,,2024-10-29 10:45,2024-10-29 14:50,No
MU-100316,Outlook problem,It is down. i get a delivery failure notice each time. Thank u.,Email & Collaboration,Mail delivery,School of Medicine,ICT-SYS-01,Systems & Accounts Team,Closed,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery. User confirmed the issue was resolved.",2024-10-08 09:14,2024-10-08 14:49,No
MU-101131,Machine dead,It has refused to work in the computer lab. it stopped booting after the power went off. i have tried on both my phone and laptop. Thanks in advance.,Hardware & Equipment,Desktop / laptop,School of Arts and Social Sciences,ICT-HWM-03,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2025-12-15 07:43,2025-12-16 03:48,No
MU-102558,Activation required,It keeps failing and the licence key provided is not being accepted.  please attend to this as soon as possible.  Regards.,Application Support,Licensing,School of Information Sciences,ICT-APP-02,Applications Support Team,Closed,Re-registered the endpoint against the institutional licence server and reapplied a valid activation key. Confirmed the product reported an activated state.,2024-06-11 09:08,2024-06-13 10:11,No
MU-103278,Network very slow,It is down in my office.  i have tried several times.  kindly look into it.,Network & Connectivity,Performance,School of Education,ICT-NET-03,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2024-03-16 14:21,2024-03-18 07:11,No
MU-104480,Commputer very slow,"Dear ICT, It is extremely slow in the administration blck since friday. it was working fine last week.",Hardware & Equipment,Performance,Human Resources,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially.",2024-08-28 10:57,2024-08-30 11:04,Yes
MU-100518,Fees not updated,It has stopped working and my fee statement does not show the amount paid in our block for a while now. the deadline is today. kindly assist.,Student Information System,Fee statement,ICT Directorate,ICT-MIS-01,MIS / SIS Support Team,Closed,"Reconciled the bank transaction reference against the finance ledger, posted the missing receipt to the student account and confirmed the updated statement in the portal.",2025-05-21 18:35,2025-05-22 15:48,No
MU-101784,Computer not starting,"Good morning, It is not functioning. it beeps and stops before loading windows since the semester started. kindly assist urgently.",Hardware & Equipment,Desktop / laptop,School of Business and Economics,ICT-HD-03,Help Desk (Tier 1),In Progress,,2024-10-01 07:01,,Yes
MU-102212,Isssue affecting my work,It is giving an error in the staff room. outgoing mail fails but incoming arrives since this morning. please help.,Email & Collaboration,Mail delivery,School of Arts and Social Sciences,ICT-SYS-02,Systems & Accounts Team,In Progress,,2025-09-20 10:56,,No
MU-101208,Cable not detecting,"Dear Sir/Madam, It does not detect anything. the network point on the wall is dead. i have tried on both my phone and laptop. Awaiting your response.",Network & Connectivity,LAN,Procurement,ICT-NET-01,Network Team,Closed,,2024-11-24 16:12,2024-11-25 01:04,Yes
MU-103061,POOR NETWORK PERFORMANCE,It is dragging badly. browsing is very slow. please help.,Network & Connectivity,Performance,School of Information Sciences,ICT-NET-03,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2025-10-20 17:00,2025-10-21 20:05,No
MU-101867,cannot login,I am locked out and i need my password reset at the library since yesterday. Regards.,Account & Access Management,Password reset,Registrar (Academic),ICT-HD-03,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-03-14 13:53,2025-03-14 16:18,No
MU-101320,Forgot password,"Hi, I cannot access the system sinec the power went off.",Account & Access Management,Password reset,Human Resources,ICT-HD-02,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-08-06 14:54,2025-08-06 20:53,No
MU-102685,PC hannging,It is dragging badly in the comp lab since the semester started. i would appreciate your help. Your assistance will be appreciated.,Hardware & Equipment,Performance,Registrar (Academic),ICT-HWM-03,Hardware & Maintenance Team,In Progress,,2025-03-04 08:07,,No
MU-100174,Problem with system,Kindly create an account in lecture hall three.,Account & Access Management,New account,School of Science,ICT-SYS-04,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2025-03-24 16:23,2025-03-24 18:24,No
MU-102985,Bandwidth problem,It is down and browsing is very slow at the main campus. i have tried on both my phone and laptop. pls help.,Network & Connectivity,Performance,Registrar (Academic),ICT-HWM-01,Hardware & Maintenance Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput. User confirmed the issue was resolved.",2024-05-30 12:56,2024-05-31 06:23,No
MU-100861,Help needed,"Dear Sir/Madam, It keeps hanging and many students are complaining about the portal since the semester started. kindly assist.",Student Information System,Performance,School of Education,ICT-MIS-02,MIS / SIS Support Team,Closed,"Identified database contention during peak registration, applied index tuning and temporarily scaled the application resources. Response times returned to normal.",2025-02-07 14:58,2025-02-10 01:58,No
MU-102811,Payment not reflecting,"Greetings, I cannot see it. i paid my fees but it is not reflecting in the portal since last week. i have tried several times. Kindly assist.",Student Information System,Fee statement,Estates and Works,ICT-APP-01,Applications Support Team,In Progress,,2025-01-16 09:17,,No
MU-103740,REQUEST FOR SUPPORT,I cannot access the system. your assistance will be appreciated. Regards.,Account & Access Management,Password reset,School of Engineering,ICT-HD-02,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-01-16 14:38,2024-01-16 18:05,No
MU-102948,ICT issue,"Greetings, It has stopped working. downnloads crawl even on a good signal. i would appreciate your help.",Network & Connectivity,Performance,School of Arts and Social Sciences,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2025-06-08 14:12,2025-06-11 09:09,Yes
MU-100600,Canot login,Access is deniied at the library. this is on the elearning portal. kindly assist. Kindly assist urgently.,Learning Management System,Access,School of Information Sciences,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-04-21 14:21,2024-04-22 06:10,No
MU-100502,Forogt password,I keep getting invalid credentials in the administration block. Your assistance will be appreciated.,Student Information System,Password reset,School of Medicine,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Ticket closed.",2025-01-28 07:21,2025-01-28 11:10,No
MU-103668,lms login failing,"Good afternoon, I cannot access the system in the administration block. this is on the elearning portal for the past two days. Kindly assist urgently.",Learning Management System,Access,School of Medicine,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2025-11-17 08:06,2025-11-17 23:01,No
MU-104018,SOFTWARE INSTALLATION REQUEST,"Dear ICT, It is not installed on my machine and the statistical software is needed on the posgtraduate lab machines since yesterday.  please help.",Application Support,Software installation,School of Engineering,ICT-APP-02,Applications Support Team,Closed,"Verified licence entitlement, installed the requested application from the approved software repository and activated it against the institutional licence server.",2025-10-20 12:56,2025-10-22 20:15,No
MU-104362,Portal login issue,"Greetings, It says my details are wrnog in the staff room for a while now.",Account & Access Management,Access,School of Law,ICT-SYS-04,Systems & Accounts Team,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2025-11-18 07:37,2025-11-18 20:01,No
MU-103443,ICT issue,"It is giving an error and the laptop itsellf is the problem, not the network in the administration block.  i would appreciate your help.  Awaiting your response.",Hardware & Equipment,Performance,School of Information Sciences,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially.",2024-09-20 13:44,2024-10-02 02:16,Yes
MU-101062,Help needed,"Dear Sir/Madam, It keeps jamming and the paper keeps jamming inside the printer. i have a class shortly. kindly look into it. Your assitsance will be appreciated.",Hardware & Equipment,Printer,Finance Department,ICT-APP-02,Applications Support Team,Closed,,2025-09-06 16:20,2025-09-07 07:11,No
MU-104328,Cable not detecting,"Good afternoon, It is down in our department.  the network point on the wall is dead since the powwer went off.  the deadline is today.",Network & Connectivity,LAN,School of Science,ICT-NET-01,Network Team,Closed,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2024-02-15 14:40,2024-02-17 06:20,No
MU-103523,system slow at registration,It keeps faiilng and the student portal is the one affected since the power went off. i have already restarted the machine. please attend to this as soon as possible. Kindly assist.,Student Information System,Performance,School of Education,ICT-MIS-03,MIS / SIS Support Team,Closed,"Identified database contention during peak registration, applied index tuning and temporarily scaled the application resources. Response times returned to normal.",2025-01-01 15:29,2025-01-03 04:36,No
MU-103591,Online exam issue,"Dear Sir/Madam, I am locked out at the library. it was working fine last week. kidnly assist. Kindly assist.",Learning Management System,Assessment,School of Engineering,ICT-ELN-02,eLearning Support Unit,Closed,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",2024-10-06 15:20,2024-10-08 08:56,Yes
MU-101777,Testing,test,,Projector,School of Engineering,ICT-HD-01,Help Desk (Tier 1),Closed,Replaced the faulty HDMI cable and cleaned the projector optics; where the lamp was beyond service hours the lamp module was replaced. Confirmed clear display.,2025-07-19 07:06,2025-07-21 21:45,No
MU-102157,Email not going out,It fails whenever i press send. outgoing mail fails but incoming arrives. kindly treat as urgent. Kindly assist.,Email & Collaboration,Mail delivery,School of Information Sciences,ICT-SYS-01,Systems & Accounts Team,Closed,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery.",2025-07-15 13:09,2025-07-16 11:38,Yes
MU-103005,Finance system problem,It says access denied and this is the finaance module of the erp since this morning. pls attend to this as soon as possible. Thank you.,Application Support,ERP / Finance system,School of Engineering,ICT-APP-02,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2025-03-21 18:24,2025-03-23 17:27,No
MU-102528,cannot connect to wifi,It has refused to work. it keeps asking for the wifi password. kindly assist. Kindly assist urgently.,Network & Connectivity,Wi-Fi,Registrar (Academic),ICT-NET-01,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-08-25 18:31,2024-08-26 03:53,No
MU-101747,Request for new account,We need an account opened for the past two days.  Thanks in advance.,Account & Access Management,New account,ICT Directorate,ICT-SYS-01,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-04-12 16:03,2024-04-12 16:45,Yes
MU-100018,Wireless not working,I cannot access the system in lecture hall three. the wifi shows but does not connect since yesterday. kindly treat as urgent.,Network & Connectivity,Wi-Fi,Registrar (Academic),ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-02-15 07:32,2025-02-17 05:58,No
MU-103369,Unable to join the wireless network,Nothing is happening and it keeps asking for the wifi password. kindly assist. Kindly assist.,Network & Connectivity,Wi-Fi,Registrar (Academic),ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-02-08 07:08,2024-02-10 07:38,Yes
MU-103923,Cannot see my course,It is giving an error in the administration block. i registered the unit but it is not on e-learning for the past two days. i have a class shortly. kindly assist urgntly.,Learning Management System,Course enrolment,ICT Directorate,ICT-HD-01,Help Desk (Tier 1),Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2025-01-29 13:44,2025-01-30 10:10,No
MU-104422,STUDENT PORTAL TIMING OUT,It takes forever to load sincce last week.,Student Information System,Performance,University Library,ICT-MIS-01,MIS / SIS Support Team,Closed,"Identified database contention during peak registration, applied index tuning and temporarily scaled the application resources. Response times returned to normal.",2025-08-01 13:27,2025-08-04 12:22,No
MU-104161,Quiz not opening,"Greetings, I have no access and my students cannot submit the cat on the platfom in our department for the past two days. the deadline is today. please attend to this as soon as possible.",Learning Management System,Assessment,School of Science,ICT-ELN-02,eLearning Support Unit,Closed,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",2025-03-28 11:34,2025-03-29 07:37,No
MU-102303,Computer not starting,Nothing happens at all. it beeps and stops before loadding windows for the past two days. kindly treat as urgent. Kindly assist urgntly.,Network & Connectivity,Desktop / laptop,School of Business and Economics,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system. User confirmed the issue was resolved.",2025-06-10 08:10,2025-06-14 09:15,No
MU-100056,Access rights needed,"Dear Sir/Madam, It is giving an error. this is the departmental shared folder on the server.",Account & Access Management,Permissions,School of Information Sciences,ICT-SYS-04,Systems & Accounts Team,Closed,"Added the user to the correct departmental security group after confirming approval from the head of department, and verified access to the shared resource.",2024-08-16 17:18,2024-08-16 21:57,No
MU-101749,Internet is slow,"Dear Sir/Madam, It is slow and keeps timing out and it is worse in the afternoon when everyone is online at the main campus from today morning. this is affecting my work. Awaiting your response.",Network & Connectivity,Performance,Finance Department,ICT-NET-01,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput. Advised the user to report any recurrence.",2025-11-07 16:00,2025-11-09 10:34,No
MU-100929,Cable not detecting,"Greetings, It has refused to work. Awaiting your response.",Network & Connectivity,LAN,School of Education,ICT-NET-03,Network Team,Closed,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2024-02-16 09:58,2024-02-17 18:11,Yes
MU-101165,Support request,"Good morning, It keeps failing. the course page is not visible to my students since the seemester started. please attend to this as soon as possible. Regards.",Learning Management System,Course enrolment,School of Information Sciences,ICT-ELN-01,eLearning Support Unit,Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2024-10-28 07:45,2024-10-28 23:34,No
MU-100684,Help needed,It has stopped working in my office. the printouts are faint and streaky sincce this morning. it was working fine last week. kindly treat as urgent.,Hardware & Equipment,Printer,School of Information Sciences,ICT-APP-01,Applications Support Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2025-04-15 13:53,2025-04-22 12:09,No
MU-100463,Printer not working,"Greetings, It is giving an error and the printer itself will not pull papeer in our block since friday. i would appreciate your help. Awaiting your response.",Hardware & Equipment,Printer,School of Arts and Social Sciences,ICT-HWM-01,Hardware & Maintenance Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2024-06-21 18:05,2024-06-26 01:16,No
MU-103389,FORGOT PASSWORD,"Hello, Access is denied and my password has expired and needs resetting. the deadline is today. please help. Kindly assist urgently.",Account & Access Management,Password reset,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-03-20 08:15,2024-03-20 10:43,No
MU-104785,Assistance required,"Hi, It is down in our department. the machine takes very long to start up. Awaiting your response.",Hardware & Equipment,Performance,School of Information Sciences,ICT-APP-01,Applications Support Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially.",2024-04-16 17:50,2024-04-18 08:36,No
MU-101246,Cannot login to eLearning,It says access denied since yesterday. this is affecting my work.,Learning Management System,Access,University Library,ICT-ELN-02,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-09-11 15:31,2024-09-12 02:19,No
MU-101553,WiFi problem,I am locked out for the past two days. kindly look into it. Kindly assist.,Network & Connectivity,Wi-Fi,School of Education,ICT-NET-03,Network Team,Resolved,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-01-08 09:33,2025-01-08 21:59,No
MU-103195,PRINTER NOT WOKRING,It is down. i have already restarted the machine. kindy assist urgently. Awaiting your response.,Hardware & Equipment,Printer,School of Medicine,ICT-APP-01,Applications Support Team,Open,,2024-07-11 18:16,,No
MU-101677,Cannot login account locked,I am unable to log in in lecture hall three. kindly treat as urgent. Your assistance will be appreciated.,Account & Access Management,Account lockout,Human Resources,ICT-HD-01,Help Desk (Tier 1),Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",2025-11-22 14:43,2025-11-22 17:00,No
MU-103143,LECTURE HALL PROJECTOR PROBLEM,I cannnot see it and i have changed the cable but the projector still shows nothing in lecture hall three. Thanks in advance.,Hardware & Equipment,Projector,School of Business and Economics,ICT-HWM-01,Hardware & Maintenance Team,Closed,,2024-08-12 10:29,2024-08-21 23:29,Yes
MU-103455,no network on desktop,"Hello, It is down and the network ponit on the wall is dead in our block.  Regards.",Network & Connectivity,LAN,University Library,ICT-HD-02,Help Desk (Tier 1),In Progress,,2025-11-10 16:36,,Yes
MU-102029,Help neeeded,Nothing is happening at the library. the assignment file will not go up to the couurse page. please attend to this as soon as possible.,Learning Management System,Content upload,School of Education,ICT-ELN-01,eLearning Support Unit,In Progress,,2025-09-20 11:13,,No
MU-101230,Password expired,I keep getting invalid credentials at the library. your assistance will be appreciated.,Account & Access Management,Password reset,School of Arts and Social Sciences,ICT-HD-03,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-11-30 07:31,2025-11-30 10:34,No
MU-102636,Passwword reset,"Dear ICT, I cannot open it and the pasword i changed is not being accepted.",Account & Access Management,Password reset,School of Engineering,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Ticket closed.",2025-10-17 10:41,2025-10-17 11:22,No
MU-102183,Fees not updated,"Dear Sir/Madam, It is msising in lecture hall three. i have attached the bank slip since friday. i would appreciate your help.",Student Information System,Fee statement,Estates and Works,ICT-MIS-01,MIS / SIS Support Team,Closed,"Reconciled the bank transaction reference against the finance ledger, posted the missing receipt to the student account and confirmed the updated statement in the portal.",2024-10-11 18:42,2024-10-12 03:43,No
MU-103744,Account disabled,I am unable to log in and the system says my accoutn is disabled.  please help.,Account & Access Management,Account lockout,School of Education,ICT-SYS-01,Systems & Accounts Team,Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",2024-04-26 18:14,2024-04-26 21:09,No
MU-104187,kindly assist,It has stopped working and it stopped booting after the power went off. i have tried on both my phone and laptop. kindly assist urgently. Thanks in advance.,,Desktop / laptop,School of Information Sciences,ICT-HWM-03,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2025-04-13 15:10,2025-04-17 13:04,No
MU-100124,ELEARNING ACCESS PROBLEM,"Good afternoon, It says my details are wrong in our block. i cannot get into the e-learning platform. Kindly assist.",Learning Management System,Access,School of Medicine,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-11-23 12:08,2024-11-23 20:28,No
MU-102877,Cannot login,It is not working. i am trying to register my units for the semester. Kindly assist urgently.,,Unit registration,Registrar (Academic),ICT-MIS-01,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration. Ticket closed.",2024-03-22 10:57,2024-03-27 12:56,Yes
MU-101347,Fees not updated,It has disappeared. i have attached the bank slip for the past two days. kindly assist.,Student Information System,Fee statement,School of Medicine,ICT-APP-02,Applications Support Team,Closed,"Reconciled the bank transaction reference against the finance ledger, posted the missing receipt to the student account and confirmed the updated statement in the portal. User confirmed the issue was resolved.",2025-03-31 10:53,2025-03-31 19:18,No
MU-100285,Problem with system,It has refused to work. downloads crawl even on a good signal.,Network & Connectivity,Performance,School of Business and Economics,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2025-12-08 07:38,2025-12-09 15:27,No
MU-103806,Desktop not bootinng,It is not workng in the staff room since yesterday. Your assistance will be appreciated.,Hardware & Equipment,Desktop / laptop,School of Medicine,ICT-HWM-01,Hardware & Maintenance Team,Resolved,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system. Advised the user to report any recurrence.",2025-01-10 11:20,2025-01-13 03:40,No
MU-102422,Not receiving emails,It is missing and no mail is arriving because the box is full at the library. Your assistance will be appreciated.,Email & Collaboration,Mailbox quota,School of Information Sciences,ICT-SYS-02,Systems & Accounts Team,Closed,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",2025-03-31 12:28,2025-04-01 03:17,No
MU-104884,Access denied to shared folder,I have no access in the administration block. i have already restarted the machine. your assistance will be appreciated. Kindly assist urgently.,Account & Access Management,Permissions,Registrar (Academic),ICT-SYS-02,Systems & Accounts Team,Closed,"Added the user to the correct departmental security group after confirming approval from the head of department, and verified access to the shared resource.",2024-07-04 16:25,2024-07-04 21:30,No
