Ticket ID,Subject,Description,Category,Subcategory,Department,Assigned Resolver,Assigned Team,Status,Resolution Notes,Created,Resolved,Reassigned,latent_problem_id,had_context,true_category,subject_clean,desc_clean,text,res_clean,y_category,y_team,y_category_id,y_team_id
MU-100066,Support request,"Hi, It is extremely slow in lecture hall three. the whoe department's link is affected. Kindly assist.",Network & Connectivity,Performance,School of Arts and Social Sciences,ICT-NET-02,Network Team,In Progress,,2025-07-23 14:18,,No,NET-SLOW,Yes,Network & Connectivity,support request,hi it is extremely slow in lecture hall three the whoe department s link is affected kindly assist,support request support request hi it is extremely slow in lecture hall three the whoe department s link is affected kindly assist,,Network & Connectivity,Network Team,5,4
MU-102940,NEW STAFF ACCOUNT,"Good afternoon, Kindly create an account and please set up access for the new technician in the admministration block since last week.",Account & Access Management,New account,School of Education,ICT-SYS-03,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-06-23 08:35,2024-06-23 12:07,No,ACC-NEW,Yes,Account & Access Management,new staff account,good afternoon kindly create an account and please set up access for the new technician in the admministration block since last week,new staff account new staff account good afternoon kindly create an account and please set up access for the new technician in the admministration block since last week,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",Account & Access Management,Systems & Accounts Team,0,5
MU-104017,Slow connecton,"Dear ICT, Nothing is happening. it is worse in the afternoon when everyone is online for the past two days. Thhank you.",Network & Connectivity,Performance,School of Medicine,ICT-NET-02,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput. Advised the user to report any recurrence.",2025-02-06 11:53,2025-02-09 10:11,Yes,NET-SLOW,Yes,Network & Connectivity,slow connecton,dear ict nothing is happening it is worse in the afternoon when everyone is online for the past two days thhank you,slow connecton slow connecton dear ict nothing is happening it is worse in the afternoon when everyone is online for the past two days thhank you,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput. Advised the user to report any recurrence.",Network & Connectivity,Network Team,5,4
MU-104726,Install application,Kindly install it for me. Awaiting your response.,Application Support,Software installation,Finance Department,ICT-APP-02,Applications Support Team,In Progress,,2025-04-05 16:16,,No,APP-INSTALL,No,Application Support,install application,kindly install it for me awaiting your response,install application install application kindly install it for me awaiting your response,,Application Support,Applications Support Team,1,0
MU-102167,Remote access problem,"Good afternoon, It refuss to let me in. this is on the vpn client since last week. Regards.",Network & Connectivity,VPN / Remote access,School of Arts and Social Sciences,ICT-NET-01,Network Team,Closed,"Re-issued the VPN profile, confirmed the account was in the remote-access group and verified successful tunnel establishment from an external network.",2024-06-10 10:19,2024-06-11 04:00,No,NET-VPN,Yes,Network & Connectivity,remote access problem,good afternoon it refuss to let me in this is on the vpn client since last week regards,remote access problem remote access problem good afternoon it refuss to let me in this is on the vpn client since last week regards,"Re-issued the VPN profile, confirmed the account was in the remote-access group and verified successful tunnel establishment from an external network.",Network & Connectivity,Network Team,5,4
MU-100631,PC will not power on,"Greetings, Nothing happens at all and the desktop does not power on when i press the button. i have already restarted the machine. kindly assist urgently.",Network & Connectivity,Desktop / laptop,School of Education,ICT-HWM-02,Hardware & Maintenance Team,Open,,2025-04-14 11:00,,No,HW-PC-NOBOOT,Yes,Hardware & Equipment,pc will not power on,greetings nothing happens at all and the desktop does not power on when i press the button i have already restarted the machine kindly assist urgently,pc will not power on pc will not power on greetings nothing happens at all and the desktop does not power on when i press the button i have already restarted the machine kindly assist urgently,,Network & Connectivity,Hardware & Maintenance Team,5,1
MU-104520,LMS login failing,It refuses to let me in in the staff room. Kindly assits urgently.,Learning Management System,Access,School of Business and Economics,ICT-SYS-04,Systems & Accounts Team,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2025-01-21 11:28,2025-01-21 16:02,No,LMS-LOGIN,No,Learning Management System,elearning login failing,it refuses to let me in in the staff room kindly assits urgently,elearning login failing elearning login failing it refuses to let me in in the staff room kindly assits urgently,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,Learning Management System,Systems & Accounts Team,4,5
MU-103378,Registration not working,I am unable to get in at the library. plaese help. Kindly assist urgently.,Student Information System,Unit registration,School of Medicine,ICT-MIS-03,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2025-09-26 13:09,2025-10-01 03:05,Yes,SIS-REG,No,Student Information System,registration not working,i am unable to get in at the library plaese help kindly assist urgently,registration not working registration not working i am unable to get in at the library plaese help kindly assist urgently,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",Student Information System,MIS / SIS Support Team,6,3
MU-104519,Quiz not opening,"Good afternoon, It is giving an error and the assignment submission link on the course page is closed in the administration block. i have tried several times. pls atteend to this as soon as possible.",Learning Management System,Assessment,University Library,ICT-ELN-02,eLearning Support Unit,Closed,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",2025-06-28 12:43,2025-06-29 06:24,Yes,LMS-QUIZ,Yes,Learning Management System,quiz not opening,good afternoon it is giving an error and the assignment submission link on the course page is closed in the administration block i have tried several times please atteend to this as soon as possible,quiz not opening quiz not opening good afternoon it is giving an error and the assignment submission link on the course page is closed in the administration block i have tried several times please atteend to this as soon as possible,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",Learning Management System,eLearning Support Unit,4,6
MU-104889,Password expired,I am unable to get in. i have forgotten my password sinec this morning. i would appreciate your help. Thank u.,Account & Access Management,Password reset,School of Education,ICT-HD-01,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-04-16 18:06,2024-04-16 21:04,No,ACC-PWD-RESET,Yes,Account & Access Management,password expired,i am unable to get in i have forgotten my password sinec this morning i would appreciate your help thank you,password expired password expired i am unable to get in i have forgotten my password sinec this morning i would appreciate your help thank you,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Account & Access Management,Help Desk (Tier 1),0,2
MU-104237,Urgent assistance required,"Hello, It keeps failing and my emails stay in the outboox in our department since yesterday.",Email & Collaboration,Mail delivery,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery. Ticket closed.",2025-01-21 09:16,2025-01-21 22:49,Yes,EML-SEND-FAIL,Yes,Email & Collaboration,urgent assistance required,hello it keeps failing and my emails stay in the outboox in our department since yesterday,urgent assistance required urgent assistance required hello it keeps failing and my emails stay in the outboox in our department since yesterday,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery. Ticket closed.",Email & Collaboration,Systems & Accounts Team,2,5
MU-104087,issue affecting my work,It does not appeear anywhere. my students cannot submit the cat on the platform.,Learning Management System,Assessment,School of Business and Economics,ICT-ELN-01,eLearning Support Unit,Closed,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",2024-10-18 15:55,2024-10-19 03:30,Yes,LMS-QUIZ,Yes,Learning Management System,issue affecting my work,it does not appeear anywhere my students cannot submit the cat on the platform,issue affecting my work issue affecting my work it does not appeear anywhere my students cannot submit the cat on the platform,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",Learning Management System,eLearning Support Unit,4,6
MU-104343,ICT issue,"Dear Sir/Madam, I am unable to log in in lecture hall three. Kindly assist.",Account & Access Management,Password reset,School of Education,ICT-HD-03,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-02-19 08:12,2024-02-19 09:03,No,ACC-PWD-RESET,No,Account & Access Management,ict issue,dear sir madam i am unable to log in in lecture hall three kindly assist,ict issue ict issue dear sir madam i am unable to log in in lecture hall three kindly assist,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Account & Access Management,Help Desk (Tier 1),0,2
MU-102305,ICT issue,"Good afternoon, Permission is denied when i try and i need my account unlocked. Awaiting your response.",Account & Access Management,Account lockout,School of Engineering,ICT-HD-01,Help Desk (Tier 1),Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",2025-06-29 10:13,2025-06-29 15:21,Yes,ACC-LOCKED,Yes,Account & Access Management,ict issue,good afternoon permission is denied when i try and i need my account unlocked awaiting your response,ict issue ict issue good afternoon permission is denied when i try and i need my account unlocked awaiting your response,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",Account & Access Management,Help Desk (Tier 1),0,2
MU-102040,Network very slow,Everything is very slow at the library. the deadline is today. please attend to this as soon as possible. Thanks in advance.,Network & Connectivity,Performance,School of Business and Economics,ICT-NET-03,Network Team,In Progress,,2024-07-11 07:54,,No,NET-SLOW,No,Network & Connectivity,network very slow,everything is very slow at the library the deadline is today please attend to this as soon as possible thanks in advance,network very slow network very slow everything is very slow at the library the deadline is today please attend to this as soon as possible thanks in advance,,Network & Connectivity,Network Team,5,4
MU-104742,Unit not showing,"Hello, It is not showing and i registered the unit but it is not on e-learning in the comp lab sinnce last week. pls attend to this as soon as possible.",Learning Management System,Course enrolment,School of Education,ICT-ELN-02,eLearning Support Unit,Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2025-08-24 08:46,2025-08-24 19:42,No,LMS-COURSE-MISSING,Yes,Learning Management System,unit not showing,hello it is not showing and i registered the unit but it is not on elearning in the computer lab sinnce last week please attend to this as soon as possible,unit not showing unit not showing hello it is not showing and i registered the unit but it is not on elearning in the computer lab sinnce last week please attend to this as soon as possible,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",Learning Management System,eLearning Support Unit,4,6
MU-100067,Cannot work from home,Nothing is happening and i need remote access to the office systems. my colleague is not having the same problem. kindly assist urgently.,Network & Connectivity,VPN / Remote access,Finance Department,ICT-NET-03,Network Team,Closed,"Re-issued the VPN profile, confirmed the account was in the remote-access group and verified successful tunnel establishment from an external network.",2024-05-27 09:46,2024-05-27 16:50,No,NET-VPN,Yes,Network & Connectivity,cannot work from home,nothing is happening and i need remote access to the office systems my colleague is not having the same problem kindly assist urgently,cannot work from home cannot work from home nothing is happening and i need remote access to the office systems my colleague is not having the same problem kindly assist urgently,"Re-issued the VPN profile, confirmed the account was in the remote-access group and verified successful tunnel establishment from an external network.",Network & Connectivity,Network Team,5,4
MU-101884,erp not opening,It has stopped working in my office. this is the finance module of the erp since friday. i have tried on both my phone and laptop. Kindly assist.,Application Support,ERP / Finance system,Registrar (Academic),ICT-APP-01,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2025-04-05 08:44,2025-04-08 16:30,No,APP-ERP,Yes,Application Support,erp not opening,it has stopped working in my office this is the finance module of the erp since friday i have tried on both my phone and laptop kindly assist,erp not opening erp not opening it has stopped working in my office this is the finance module of the erp since friday i have tried on both my phone and laptop kindly assist,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",Application Support,Applications Support Team,1,0
MU-101321,KINDLY RESET MY PASSWORD,I am unable to log in. Awaiting your response.,Account & Access Management,Password reset,Registrar (Academic),ICT-HD-02,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Ticket closed.",2024-12-19 17:13,2024-12-19 17:51,No,ACC-PWD-RESET,No,Account & Access Management,kindly reset my password,i am unable to log in awaiting your response,kindly reset my password kindly reset my password i am unable to log in awaiting your response,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Ticket closed.",Account & Access Management,Help Desk (Tier 1),0,2
MU-103226,Course not appearing,It has disappeared and i regisetred the unit but it is not on e-learning. the deadline is today. Awaiting your response.,Student Information System,Course enrolment,Registrar (Academic),ICT-ELN-01,eLearning Support Unit,Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2025-09-16 10:19,2025-09-17 16:55,Yes,LMS-COURSE-MISSING,Yes,Learning Management System,course not appearing,it has disappeared and i regisetred the unit but it is not on elearning the deadline is today awaiting your response,course not appearing course not appearing it has disappeared and i regisetred the unit but it is not on elearning the deadline is today awaiting your response,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",Student Information System,eLearning Support Unit,6,6
MU-103347,PERMISSION REQUEST,"Dear Sir/Madam, It has refused to work and it is the shared directory with the semester files in the comp lab since this morning. Kinddly assist urgently.",Account & Access Management,Permissions,School of Arts and Social Sciences,ICT-SYS-04,Systems & Accounts Team,Closed,"Added the user to the correct departmental security group after confirming approval from the head of department, and verified access to the shared resource. User confirmed the issue was resolved.",2024-11-14 10:10,2024-11-14 12:28,No,ACC-PERMS,Yes,Account & Access Management,permission request,dear sir madam it has refused to work and it is the shared directory with the semester files in the computer lab since this morning kinddly assist urgently,permission request permission request dear sir madam it has refused to work and it is the shared directory with the semester files in the computer lab since this morning kinddly assist urgently,"Added the user to the correct departmental security group after confirming approval from the head of department, and verified access to the shared resource. User confirmed the issue was resolved.",Account & Access Management,Systems & Accounts Team,0,5
MU-101526,Request for support,"Hi, Nothing is happening and the ups beeps continuously and the machine goes off in the computer lab.",Hardware & Equipment,Peripherals,School of Business and Economics,ICT-HWM-02,Hardware & Maintenance Team,Closed,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed.,2024-03-18 07:18,2024-03-20 03:09,Yes,HW-PERIPHERAL,Yes,Hardware & Equipment,request for support,hi nothing is happening and the ups beeps continuously and the machine goes off in the computer lab,request for support request for support hi nothing is happening and the ups beeps continuously and the machine goes off in the computer lab,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed.,Hardware & Equipment,Hardware & Maintenance Team,3,1
MU-103835,Mail delivery failure,"Hello, It has refused to work. my emails stay in the outbox since the semester started.",Email & Collaboration,Mail delivery,University Library,ICT-SYS-02,Systems & Accounts Team,Closed,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery.",2025-06-20 17:19,2025-06-21 02:20,Yes,EML-SEND-FAIL,Yes,Email & Collaboration,mail delivery failure,hello it has refused to work my emails stay in the outbox since the semester started,mail delivery failure mail delivery failure hello it has refused to work my emails stay in the outbox since the semester started,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery.",Email & Collaboration,Systems & Accounts Team,2,5
MU-103804,Spport request,It is not functioning. i get a delivery failure notice each time for a while now. kindly assist. Thank you.,Email & Collaboration,Mail delivery,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery.",2025-07-26 10:13,2025-07-27 09:56,No,EML-SEND-FAIL,Yes,Email & Collaboration,spport request,it is not functioning i get a delivery failure notice each time for a while now kindly assist thank you,spport request spport request it is not functioning i get a delivery failure notice each time for a while now kindly assist thank you,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery.",Email & Collaboration,Systems & Accounts Team,2,5
MU-101249,Unable to join the wireless network,The connection keeps dropping. i have already restarted the machine. please attend to this as soon as possible.,Network & Connectivity,Wi-Fi,School of Medicine,ICT-NET-02,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-04-17 16:36,2024-04-19 01:14,No,NET-WIFI-NOCONN,No,Network & Connectivity,unable to join the wireless network,the connection keeps dropping i have already restarted the machine please attend to this as soon as possible,unable to join the wireless network unable to join the wireless network the connection keeps dropping i have already restarted the machine please attend to this as soon as possible,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,Network & Connectivity,Network Team,5,4
MU-103197,Urgent assistance required,It is not shownig and no mail is arriving because the box is full.  Awaiting your response.,Email & Collaboration,Mailbox quota,School of Arts and Social Sciences,ICT-SYS-03,Systems & Accounts Team,Closed,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",2025-02-25 14:25,2025-02-26 06:34,No,EML-MAILBOX-FULL,Yes,Email & Collaboration,urgent assistance required,it is not shownig and no mail is arriving because the box is full awaiting your response,urgent assistance required urgent assistance required it is not shownig and no mail is arriving because the box is full awaiting your response,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",Email & Collaboration,Systems & Accounts Team,2,5
MU-101220,eLearning access problem,"Dear Sir/Madam, Login is not working. i need to get in to uplad my course materials for the past two days. kindly assist.",Learning Management System,Access,Registrar (Academic),ICT-SYS-02,Systems & Accounts Team,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-09-20 12:16,2024-09-20 17:25,No,LMS-LOGIN,Yes,Learning Management System,elearning access problem,dear sir madam login is not working i need to get in to uplad my course materials for the past two days kindly assist,elearning access problem elearning access problem dear sir madam login is not working i need to get in to uplad my course materials for the past two days kindly assist,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,Learning Management System,Systems & Accounts Team,4,5
MU-102202,ICT issue,It is not innstalled on my machine at the library.  your assistance will be appreciated.  Regards.,Application Support,Software installation,School of Arts and Social Sciences,ICT-APP-01,Applications Support Team,Closed,"Verified licence entitlement, installed the requested application from the approved software repository and activated it against the institutional licence server.",2024-03-06 10:26,2024-03-07 21:32,No,APP-INSTALL,No,Application Support,ict issue,it is not innstalled on my machine at the library your assistance will be appreciated regards,ict issue ict issue it is not innstalled on my machine at the library your assistance will be appreciated regards,"Verified licence entitlement, installed the requested application from the approved software repository and activated it against the institutional licence server.",Application Support,Applications Support Team,1,0
MU-100857,REGISTRATION NOT WORKING,It is down at the main campus. i have tried sevral times. Thank you.,Student Information System,Unit registration,School of Business and Economics,ICT-MIS-03,MIS / SIS Support Team,In Progress,,2025-07-31 15:27,,No,SIS-REG,No,Student Information System,registration not working,it is down at the main campus i have tried sevral times thank you,registration not working registration not working it is down at the main campus i have tried sevral times thank you,,Student Information System,MIS / SIS Support Team,6,3
MU-102616,fees not updated,It is down.  my fee statement does not show the amount paid.  it was working fine last week.  kindly treat as urgent.,Learning Management System,Fee statement,Finance Department,ICT-MIS-03,MIS / SIS Support Team,Open,,2024-08-13 09:54,,No,SIS-FEE,Yes,Student Information System,fees not updated,it is down my fee statement does not show the amount paid it was working fine last week kindly treat as urgent,fees not updated fees not updated it is down my fee statement does not show the amount paid it was working fine last week kindly treat as urgent,,Learning Management System,MIS / SIS Support Team,4,3
MU-101958,Kindly reset my password,"Hi, I have no access since last week. kindly traet as urgent.",Account & Access Management,Password reset,School of Education,ICT-HD-01,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-04-30 09:23,2025-04-30 09:51,No,ACC-PWD-RESET,No,Account & Access Management,kindly reset my password,hi i have no access since last week kindly traet as urgent,kindly reset my password kindly reset my password hi i have no access since last week kindly traet as urgent,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Account & Access Management,Help Desk (Tier 1),0,2
MU-102424,Assistance required,It is not working. my colleague is not having the same problem. kindly look into it. Regards.,Application Support,Print services,School of Information Sciences,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Removed the stale printer object, reinstalled the correct driver and mapped the user to the departmental print queue. Verified with a test page.",2024-12-03 11:02,2024-12-04 23:22,No,APP-PRINT-SW,No,Application Support,assistance required,it is not working my colleague is not having the same problem kindly look into it regards,assistance required assistance required it is not working my colleague is not having the same problem kindly look into it regards,"Removed the stale printer object, reinstalled the correct driver and mapped the user to the departmental print queue. Verified with a test page.",Application Support,Hardware & Maintenance Team,1,1
MU-102916,Results not sohwing,It is not showing in my office for a while now. please attend to this as soon as possible.,Student Information System,Results / transcripts,Registrar (Academic),ICT-MIS-01,MIS / SIS Support Team,Closed,"Traced the unresolved marks to an unapproved mark sheet, escalated to the school examinations office for approval and confirmed the results displayed after posting.",2024-12-02 12:14,2024-12-02 19:40,No,SIS-TRANSCRIPT,No,Student Information System,results not sohwing,it is not showing in my office for a while now please attend to this as soon as possible,results not sohwing results not sohwing it is not showing in my office for a while now please attend to this as soon as possible,"Traced the unresolved marks to an unapproved mark sheet, escalated to the school examinations office for approval and confirmed the results displayed after posting.",Student Information System,MIS / SIS Support Team,6,3
MU-101359,No network on desktop,It keeps failing at the library since yesterday.  kindly treat as urgent.,Network & Connectivity,LAN,School of Science,ICT-HD-01,Help Desk (Tier 1),Closed,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2025-03-19 09:57,2025-03-19 20:37,No,NET-LAN-PORT,No,Network & Connectivity,no network on desktop,it keeps failing at the library since yesterday kindly treat as urgent,no network on desktop no network on desktop it keeps failing at the library since yesterday kindly treat as urgent,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",Network & Connectivity,Help Desk (Tier 1),5,2
MU-100360,Install application,"Hi, It is not installed on my machine in the staff room. please instal microsoft office on my laptop since last week. kindly assist. Kindly assist urgently.",Application Support,Software installation,School of Science,ICT-APP-01,Applications Support Team,Open,,2024-10-20 17:04,,No,APP-INSTALL,Yes,Application Support,install application,hi it is not installed on my machine in the staff room please instal microsoft office on my laptop since last week kindly assist kindly assist urgently,install application install application hi it is not installed on my machine in the staff room please instal microsoft office on my laptop since last week kindly assist kindly assist urgently,,Application Support,Applications Support Team,1,0
MU-100247,SLOW CONNECTION,Response is very slow in the administration block since the power went off. your assistance will be appreciated. Awaiting your response.,Network & Connectivity,Performance,ICT Directorate,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2024-09-25 14:27,2024-09-27 10:35,No,NET-SLOW,No,Network & Connectivity,slow connection,response is very slow in the administration block since the power went off your assistance will be appreciated awaiting your response,slow connection slow connection response is very slow in the administration block since the power went off your assistance will be appreciated awaiting your response,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",Network & Connectivity,Hardware & Maintenance Team,5,1
MU-104364,Not receiving emails,"Hi, It is not showing at the main campus. Kindly asssist urgently.",Email & Collaboration,Mailbox quota,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",2024-02-11 10:30,2024-02-11 23:25,No,EML-MAILBOX-FULL,No,Email & Collaboration,not receiving emails,hi it is not showing at the main campus kindly asssist urgently,not receiving emails not receiving emails hi it is not showing at the main campus kindly asssist urgently,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",Email & Collaboration,Systems & Accounts Team,2,5
MU-100059,eLearning access problem,I am unabel to log in. please attend to this as soon as possible. Kindly assist urgently.,Learning Management System,Access,University Library,ICT-SYS-01,Systems & Accounts Team,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-11-11 12:21,2024-11-13 04:03,Yes,LMS-LOGIN,No,Learning Management System,elearning access problem,i am unabel to log in please attend to this as soon as possible kindly assist urgently,elearning access problem elearning access problem i am unabel to log in please attend to this as soon as possible kindly assist urgently,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,Learning Management System,Systems & Accounts Team,4,5
MU-103748,Mouse not responding,"Hello, It is down and the scanner is not being detected since yesterday. kindly treat as urgent. Kindly assist urgently.",Hardware & Equipment,Peripherals,School of Engineering,ICT-HWM-03,Hardware & Maintenance Team,Closed,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed.,2024-12-16 09:01,2024-12-17 05:17,No,HW-PERIPHERAL,Yes,Hardware & Equipment,mouse not responding,hello it is down and the scanner is not being detected since yesterday kindly treat as urgent kindly assist urgently,mouse not responding mouse not responding hello it is down and the scanner is not being detected since yesterday kindly treat as urgent kindly assist urgently,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed.,Hardware & Equipment,Hardware & Maintenance Team,3,1
MU-101332,Desktop not booting,"Greetings, It is giving an error. my colelague is not having the same problem. please help.",Hardware & Equipment,Desktop / laptop,School of Medicine,ICT-HWM-01,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2025-06-27 18:17,2025-06-29 07:58,No,HW-PC-NOBOOT,No,Hardware & Equipment,desktop not booting,greetings it is giving an error my colelague is not having the same problem please help,desktop not booting desktop not booting greetings it is giving an error my colelague is not having the same problem please help,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",Hardware & Equipment,Hardware & Maintenance Team,3,1
MU-103277,Problem with system,It is not functioning and the screen stas black on startup at the main campus.,Hardware & Equipment,Desktop / laptop,University Library,ICT-HWM-03,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2024-08-31 16:19,2024-09-01 17:36,No,HW-PC-NOBOOT,Yes,Hardware & Equipment,problem with system,it is not functioning and the screen stas black on startup at the main campus,problem with system problem with system it is not functioning and the screen stas black on startup at the main campus,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",Hardware & Equipment,Hardware & Maintenance Team,3,1
MU-101017,Unit missing on portal,Nothing is happening. i regstered the unit but it is not on e-learning. Thank you.,Learning Management System,Course enrolment,School of Law,ICT-ELN-01,eLearning Support Unit,Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2025-01-04 12:33,2025-01-05 15:51,No,LMS-COURSE-MISSING,Yes,Learning Management System,unit missing on portal,nothing is happening i regstered the unit but it is not on elearning thank you,unit missing on portal unit missing on portal nothing is happening i regstered the unit but it is not on elearning thank you,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",Learning Management System,eLearning Support Unit,4,6
MU-100660,problem with system,"Good morning, It has stopped working in lecture hall three. browsing is very slow for a while now. kindly treat as urgent.",Network & Connectivity,Performance,University Library,ICT-NET-02,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2025-12-18 11:18,2025-12-19 05:34,No,NET-SLOW,Yes,Network & Connectivity,problem with system,good morning it has stopped working in lecture hall three browsing is very slow for a while now kindly treat as urgent,problem with system problem with system good morning it has stopped working in lecture hall three browsing is very slow for a while now kindly treat as urgent,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",Network & Connectivity,Network Team,5,4
